Time,Activo,SPOT,absorption_score,exhaustion_score,failed_squeeze_flag,bullish_absorption,bearish_absorption,dealer_absorption
2026-06-21 17:26:45,NQ,30559.5,0.0,0.0,0,0,0,0
2026-06-21 17:27:45,NQ,30554.75,30.0,15.0,0,0,0,0
2026-06-21 17:28:45,NQ,30549.25,30.0,35.0,0,0,0,0
2026-06-21 17:29:45,NQ,30552.0,0.0,35.0,0,0,0,0
2026-06-21 17:30:45,NQ,30533.0,30.0,15.0,0,0,0,0
2026-06-21 17:31:45,NQ,30530.5,30.0,15.0,0,0,0,0
2026-06-21 17:32:45,NQ,30536.5,0.0,35.0,0,0,0,0
2026-06-21 17:33:45,NQ,30531.5,30.0,0.0,0,0,0,0
2026-06-21 17:34:45,NQ,30530.5,30.0,15.0,0,0,0,0
2026-06-21 17:35:45,NQ,30525.75,30.0,35.0,0,0,0,0
2026-06-21 17:36:45,NQ,30524.5,30.0,35.0,0,0,0,0
2026-06-21 17:37:45,NQ,30522.25,30.0,15.0,0,0,0,0
2026-06-21 17:38:45,NQ,30518.25,30.0,35.0,0,0,0,0
2026-06-21 17:39:45,NQ,30522.0,0.0,15.0,0,0,0,0
2026-06-21 17:40:45,NQ,30523.75,0.0,0.0,0,0,0,0
2026-06-21 17:41:45,NQ,30538.25,0.0,0.0,0,0,0,0
2026-06-21 17:42:45,NQ,30541.25,0.0,0.0,0,0,0,0
2026-06-21 17:43:45,NQ,30553.0,0.0,0.0,0,0,0,0
2026-06-21 17:44:45,NQ,30552.25,30.0,0.0,0,0,0,0
2026-06-21 17:45:45,NQ,30555.5,0.0,0.0,0,0,0,0
2026-06-21 17:46:45,NQ,30551.25,30.0,35.0,0,0,0,0
2026-06-21 17:47:45,NQ,30557.75,0.0,35.0,0,0,0,0
2026-06-21 17:48:45,NQ,30567.75,0.0,0.0,0,0,0,0
2026-06-21 17:49:45,NQ,30565.5,30.0,0.0,0,0,0,0
2026-06-21 17:50:45,NQ,30565.0,30.0,0.0,0,0,0,0
2026-06-21 17:51:45,NQ,30567.5,0.0,0.0,0,0,0,0
2026-06-21 17:52:45,NQ,30568.5,0.0,0.0,0,0,0,0
2026-06-21 17:53:45,NQ,30568.75,0.0,35.0,0,0,0,0
2026-06-21 17:54:45,NQ,30565.5,30.0,35.0,0,0,0,0
2026-06-21 17:55:45,NQ,30566.0,0.0,35.0,0,0,0,0
2026-06-21 17:56:45,NQ,30566.0,30.0,35.0,0,0,0,0
2026-06-21 17:57:45,NQ,30559.75,30.0,35.0,0,0,0,0
2026-06-21 17:58:45,NQ,30538.0,30.0,0.0,0,0,0,0
2026-06-21 17:59:45,NQ,30520.25,30.0,0.0,0,0,0,0
2026-06-21 18:00:45,NQ,30498.5,30.0,0.0,0,0,0,0
2026-06-21 18:01:45,NQ,30473.75,30.0,0.0,0,0,0,0
2026-06-21 18:02:45,NQ,30466.75,30.0,35.0,0,0,0,0
2026-06-21 18:03:45,NQ,30477.5,40.0,0.0,0,0,0,0
2026-06-21 18:04:45,NQ,30478.0,40.0,0.0,0,0,0,0
